match_id,world_cup_year,host_country,date,stage,tournament_stage_order,group,result_method,is_walkover,went_to_extra_time,went_to_penalties,has_halftime_data,team,opponent,goals_for,goals_against,result,is_historical_entity
106,1958,Sweden,1958-06-11,Group Stage,1,Group 1,Draw,False,False,False,False,West Germany,Czechoslovakia,2,2,Draw,True
107,1958,Sweden,1958-06-15,Group Stage,1,Group 1,Draw,False,False,False,False,Northern Ireland,West Germany,2,2,Draw,False
107,1958,Sweden,1958-06-15,Group Stage,1,Group 1,Draw,False,False,False,False,West Germany,Northern Ireland,2,2,Draw,True
108,1958,Sweden,1958-06-15,Group Stage,1,Group 1,Normal Time,False,False,False,False,Argentina,Czechoslovakia,1,6,Loss,False
108,1958,Sweden,1958-06-15,Group Stage,1,Group 1,Normal Time,False,False,False,False,Czechoslovakia,Argentina,6,1,Win,True
109,1958,Sweden,1958-06-17,Group Stage,1,,Extra Time,False,True,False,False,Czechoslovakia,Northern Ireland,1,1,Loss,True
109,1958,Sweden,1958-06-17,Group Stage,1,,Extra Time,False,True,False,False,Northern Ireland,Czechoslovakia,1,1,Win,False
110,1958,Sweden,1958-06-08,Group Stage,1,Group 2,Normal Time,False,False,False,False,France,Paraguay,7,3,Win,False
110,1958,Sweden,1958-06-08,Group Stage,1,Group 2,Normal Time,False,False,False,False,Paraguay,France,3,7,Loss,False
111,1958,Sweden,1958-06-08,Group Stage,1,Group 2,Draw,False,False,False,False,Scotland,Yugoslavia,1,1,Draw,False
